hashtag,o/f
replacesnsdsongswithsmurf,o
replacesongtitleswithplacenta,o
mentionsomeonewhoalwaysonyourmind,o
whostheceleb,o
mytop5bands,o
21reasonswhyilovedemi,o
artfortweets,o
dingdongthewitchisdead,o
truthandonlytruth,f
notime2sleep,o
replacesongtitlewithdrone,o
livewithfire,o
10thingsyouhatetodo,o
90sbabyfollow,f
my10favoritemusicvideo,o
ifiwasjustinsgirlfriendiwould,o
mentionsomethingaboutyourself,o
threewordscarystories,f
ifjustinwasmyboyfriend,o
thisisthevoice,o
dowhatuwantwithmybody,o
stupidshitididinelementaryschool,o
thingswesay2dapolice,o
sometimesitseasier,o
replacingmeangirlsquoteswithbacon,
wordsgrownmenshouldneversay,o
youremoreatrractiveif,o
moderndayfreak,o
tweelikeaboy,o
thingsiwanttohappen,o
ifyouremygirl,o
lentproblems,o
makesmesmh,f
thirstysunday,f
designthishome,o
letsgoplaces,o
icantgoonedaywithout,o
followthewanted,f
relationshippains,f
gotitfree,o
tweetaturnoff,o
easillyattractedto,o
idothatmittromneysmirkwhen,o
youcanttrusthoes,o
whyrelationshipsend,o
signsafightbout2breakout,o
mentionabeautifulname,o
kissforpeace,f
wereport,f
tweeapicturethatdescribesyourfriendship,o
mentionsomeoneyouwouldridefor,o
followmeconcept,f
muppetsmostwantedevent,o
wowiloveindonesia,o
youcrossedthelinewhen,o
replaceasongtitlewithtank,o
ifalbumtitleswerehonest,o
mentionanattractivefeature,o
takeflightrisk,o
youknowyoulameifyoustill,o
peoplewhoneedagoodhiding,o
campusspecial,f
getunionjtothetop5,o
friendsoneliners,o
eatcleantraindirty,f
peoplespecialinthisworld,f
20monthswithexo,f
blackparentsdothingslike,f
my15favoritesongs,o
90sbabyfollowt,o
mysexlifeasasongtitle,o
musicwasbestwhen,o
10commandmentsoftwitter,o
thingsthatmakeyoumad,o
youremoreatractiveif,o
youmightbeadictator,f
questionforgirls,f
whentheclockstrikes10,o
top10favouritesongs,o
favchildhoodtvshows,o
webooktalent,f
tweetabadhabit,o
oomfshouldknow,o
tweetapicturewithyourbestfriend,o
best90ssong,o
beautifulshow2013,f
pmccthursdaytreats,o
iatethebones,o
thotsbelike,o
10sexiestfemales,o
mentionperfection,f
myrightwingbiracialfamily,
igoodbye,
storybehindmyscars,f
uglypeopleexcuses,
eatsleepbreakthestreak,o
halfnakedthursdays,
wheresmum,
myfavouritesongsof2012,o
ap10things,o
365dayswithbtob,o
likesforlikes,
mydadtaughtme,f
mentionsomeonewhomakesyouhappy,o
10favouritealbums,o
liveouturdreams,o
linesthatmustbeshouted,o
ifwedate,o
focusedonreality,
mylifeasabarbie,o
relationshipswouldlastlongerif,o
tweetapicturethatyoucantexplain,o
mentionsomeoneyourethankfulfor,
whitepeopleyoutubesearches,o
whywouldyoucheatif,
mcfridaytreat,o
whattvadsteachyou,
tweetameet,o
twittermademerealize,o
favouritemoviequotes,o
bandsthatareperfect,o
timetoturnup,
celebritiestalkindirty,o
imreallygoodat,o
thickhairproblemsnight,o
10reasonstodateafatgirl,o
mentionsomeonehassweetsmile,o
votewhatmakesyoubeatiful,o
revealthenew,o
reedsomggiveaway,o
fivewordbreakup,
thingsmybestfrienddo,o
thursdayviralfollowing,
dailymeme,
replacemovietitlewithhorny,f
thingsguysshouldnotsaytoanotherguy,o
mylovefromthestar,o
mancrushmonday,
awaydaymemories,o
howtopissafemaleoff,
thenationwantstoknow,o
sufferingfromsuccess,o
kissthursdays,o
tweetapicturewithoutlooking,f
tweetabondthatcantbebroken,o
nowiknowbetter,f
replacefilmtitleswithwank,o
youknowyourefilipinowhen,o
5thingsifindattractive,o
ratemylesbian,o
believechristmasgiveaway,f
rapedbyasiothanditwasamazing,o
confessyourunpopluaropinion,o
butyougotthemfoamsthough,
things2chainzwouldsay,o
20picturesofharryfromyourcameraroll,f
indonesianteens2013wish,o
leftmytomtomwiththedriver,o
sexualpickuplines,
15thingsaboutmybestfriend,o
saveourguys,o
fridayviralfollowing,o
springiscoming,f
beauisawhore,
thingsunlikelytohearonmotd,o
collegeapocalypse,o
icantbetheonlyperson,o
yogirldontloveyouif,o
goroar,o
funwithhashtag,o
youknowyourebroke,o
dementiafriends,
youknowyoureindonesianwhen,f
twistoftaste,o
askfifthharmony,
hotoutside,f
20songsthatilike,o
classof2017,o
thingsbetterthanlilwaynespushatdiss,
waystogetshot,
reasonstolovelauren,o
ifyouknowpeterborough,o
19reasonstoloveharrystyles,o
firstdayofspring,o
weliveinagenerationwhere,o
howimetmybestffriend,o
fandomemories2013,f
thatsthatshitilike,o
secondaryschoolconfessions,
incomingfreshmanadvice,o
replacebandnameswithtampon,
saysomething,f
favoritelinefromasong,o
relationshipsfallapartbecause,o
oplustpwishuponareindeer,
100daysofhappy,f
90sbabyfoll,f
thatsthatshitidontlike,o
besttwittermemoriesof2013,f
mentionwhoyouwanttospendvalentineswith,o
youaremoreattractive,o
outofmylimit,f
replacesongnameswithflaps,f
mentionyourvalentine,o
thingsnottododuringafuneral,f
thatsheartgiveaway,f
someonespecialof2013,f
ifyouknowsheffield,o
sexwithniallbelike,o
igotathingafor,o
tweetyouraddiction,o
mostoverratedmusicartists,f
plantatweet,o
plansforthesummer,o
textingdisaster,o
areyoutheone,0
sarigulneredecekmekoydegisimorada,
getofftwitterif,o
replacefilmtitlewithcake,o
twittermirror,0
hotnewreads,f
thingsthatareaturnon,f
sadgooglesearches,o
100mostbeautifulpinays,f
thiscouldbeusifyoustoppedplaying,o
lessonsfromscarymovies,o
textmethis,o
thingsiliketodo,o
withbaby,o
theworldmadesensewhen,f
typenickiminajwithoutlooking,
removeoneletterfilm,o
satnightontwitter,o
thingsthatpissmeoffingeneral,o
1yearofboyfriend,f
strugglesofbeingirish,f
iamweakfor,o
dontfundit,o
lmaotwitpics,
mentionsomeomeyourethankfulfor,o
basicwhitegirl,o
hope4jobs,o
thatssoattractive,o
bringla32012,
thatswhatslutsdo,o
tellmeifyoudown,o
embarrassyourfriend,o
sexyfreeandsingle,o
myoldtwittername,f
imeasilyannoyed,f
beefsbetterthandrakeandchrisbrowns,o
mybiggestissue,f
shoutouttotheguysthat,o
musictoyournose,
infamoussecondson,o
onethingyoudontknow,o
gossipisgreat,o
whitepeopleactivites,f
wrongfilmquotes,o
rememberwhenbarackobama,f
funwithtulisantimeline,o
whatmakeseverybodymad,o
presentsfromparentdish,f
my15favoritessongs,o
thingspeoplehavetostopdoing,o
mentionsomeonewhowillcompleteyourday,o
thebestpartofmydaywas,o
whosyapapi,o
whatdifferencedoesitmake,o
thiscouldbeusbutuplayin,o
whatifancy,o
mapstothestars,f
thingsthatguyslike,o
tweetyournamewithoutvowels,o
mentionafollowerthatcangetit,o
fearfactormy,f
celebritiesivebeentoldilooklike,o
mydayinla,o
malaysianstudentproblems,o
15goodsongs,o
20mybestfriend,o
realloveiswhen,o
thankyouniallforthetwitcam,o
theworldneedsmore,f
mcfridaytreat,f
in2ndgrade,f
thingstwitterdoesntcareabout,f
16yearsoflifeonmars,f
iwishpeoplewouldjust,o
sexwithliambelike,o
bornthiswaywasbornthisday,o
hottieoftheyear,o
overlyhonestmethods,f
fifthharmonythinksyourepretty,o
thatsthatshitidontlike,o
replaceabiebersongwithjerry,o
sexyfoods,o
themostannoyingthingsever,o
ihopesomeday,o
straightuptellsomeonetheyrehot,o
replacebeyoncesongswithblue,o
funniesttumblrposts,f
thingsyoumighthearaliberalsay,o
conservativebandnames,f
bestsongeveronradio1,f
puttingfansfirst,o
pbbthelegalbestfriend,f
unansweredhiphopquestions,f
thankyouglobe,o
worstraplinesever,o
newgagasingleguy,f
bestsongtohavesexto,o
heyyouapp,f
describeobamainthreewords,o
blackgirlsfamouslines,f
tagsomeonewhofarts,o
doyoutobeone,o
blackpeoplemeetusernames,f
lyricsthatmeanalottome,o
celebritiesthatlookliketheystank,o
drawsomething,o
whatidowhenimalone,o
nameabrainer,o
what2chainswouldsay,o
idontknowhowtoactwhen,o
senior13problems,o
dailytongue,f
mentionsomeonecute,o
yougainmajorpoints,f
itamazesmethat,o
describeyourfriendshipinapicture,o
ready4reform,f
tothebeautifulyou,o
wheniseeaobamabumpersticker,o
babyisstaying,f
howtoblendinwithwhitepeople,f
ifitwasntforfootball,f
thingsconservativeshate,o
ireallydontlikeitwhen,o
thingsliberalsjustdontget,o
twittercatchingfire,o
cantremembertoforgetyou,o
youareallsurrounded,f
bestfootballchants,o
thatshitidontlike,o
20favouritefootballers,o
ifdrakewasourteacher,o
comfortforall,f
four4horror,o
hottitles,o
stopmexicangirls2013,o
britishproblemsnight,o
whenithinkofyoui,o
tweetalyriceverybodyknows,f
textcutie,o
replaceamoviewithnigga,o
collegefessionsnaps,f
thiscoudbeusbutyouplaying,f
getoveritlifegoeson,f
30sexy,o
mention15prettypeople,o
anotherfo,
letsfixthisfandom,o
whatislifewithout,o
textmessagesfromastalker,f
iwannagiveashoutoutto,o
morepopularthantheobamabudget,o
icantchillwithyouif,o
10peoplethatmeanalottome,o
thatswhatihate,o
ifwejustsmashing,
myfavoritelinewhenimmad,o
thingsidnevershare,o
2thingsiappreciate,o
womencantstandwhen,o
11songs,f
thursdaythrowback,f
tweetamemory,o
ifyouknowmewell,f
youknowyouremalaysianwhen,o
bestupallnighttourmoments,o
notanormalparty,o
beenfresh,o
crushproblemsnight,f
defineobamainoneword,o
bestsongeverofficialvideo,f
maleproverbs,f
mentionsomeoneimthankfulfor,o
dontbethatguy,o
sinceimbeinghonest,o
howtopissoffafemale,o
mentionsomeoneyouarethankfulfor,o
txtmessagesfromastalker,f
yourstrokeweakif,o
whatmakemehappy,o
1045bdayshow,f
4wordsafterabreakup,f
mommyprobs,f
16songs,f
throughyoureyes,o
ghettowaystodie,o
thingsmittromneywilltakeaway,f
wearethe5thline,f
68th,f
dancesweforgotabout,o
smartassquestions,o
songsniallcanviolentlymasturbateto,f
thingsnottodowhilepregnant,f
tweetsomethingyougetalot,o
hot30voteboost,f
myfriendsalways,o
itdrivesmecrazywhen,o
what_it_is?,o
twitterfamouswhofollowedme,o
sometimesihatetwitter,o
songsthatgiveyougoosebumps,o
textmsgsthatmakeyoumad,o
giftofsport,f
turkishncosdeathfasting,f
mentionsomeoneyouareafraidoflosing,o
ready4newcongress,o
yathatwasstupid,o
thefirstthingvideo,f
holdonweregoinghome,o
studsbelike,f
signsyoupissedsomebodyoff,f
90sbabytrain,f
bravethestorme,o
meangirlstaughtme,f
lastsummeraroundthistimeiwas,o
iammanchestersbillionthgirl,f
iwanttopunchpeoplewho,o
thingsisaytomuch,f
datemeif,f
songsthatmakeyouwannafight,o
thoughtyouwerecuteuntil,o
africansbelike,o
sometimesitseemslike,o
itsaswimmerthing,f
4hottestyearswith2pm,f
inschoolthoughts,o
like4follow,o
somosunday,o
10thingsaboutmyfather,f
iknowimnottheonlyonewho,f
heymangirl,
ifyoureblackyouknow,o
changemovietitlewithpechay,f
wishuponacornetto,f
favouritepeopleof2012,o
youliedwhenyousaid,f
tweetforaseat,o
cantwaitforonething,o
transformationtuesday,f
questionsaskedafterafight,f
ifweedwerelegal,o
illneverregretmeeting,f
rapecultureiswhen,f
mycrazyobsession,o
gettingaharryfollowisharderthan,o
thingsmoreusefulthanadebayor,o
thepeoplescouch,f
anythingforhockey,f
selfiefriday,f
annoyingthingsontwitter,o
win30s,f
artistsyoucantdislike,o
thingsisaywhilereadingmytl,f
evilasshit,f
inaparalleluniverse,f
ifmylifewereamovie,o
habitsifindhardtobreak,o
forcebumpwat,
thingsbetterthanbieber,o
typeyournamewithyourelbow,o
bringbackourgirls,o
unansweredrapquestions,o
mentionsomeonebeautiful,o
10favouritelyrics,o
ourmomentwithsmallzy,o
fixmylife,o
10peoplewhomeanalottome,o
growingeveryday,f
dontbethatguy,o
ialwaysthinkabout,o
unpopulargamingopinions,o
exgirlfriendsbelike,o
foronedayiwishicouldhangwith,o
myrealrelationshipstatus,o
1reasonwhy,
musicthatdoesmatch,f
thingswomenwant,f
whatdreamsmaycometour,o
replacesongtitleswithtampon,o
replace1dlyricswithboobs,
5thingsillneverletphaseme,o
iftheyshutdowntwitter,o
afanissomeonewho,o
commonannoyingbios,f
tweetlikeyomamawatching,
twitterisnotfor,f
2012taughtme,f
notallwhitepeople,o
hottestindiantvjodi,o
kimchiubetterandfearless,o
drop4drop,
immaturebandnames,o
whyididnttextyouback,o
thingsbetterthanthedunkcontest,
definitelyadumbass,o
20myfuturedreams,f
tweetlikeatwitterbitch,o
in10thgrade,o
10thingsyoucoulddoforme,f
mentionpeoplethatmakeyousmile,o
youdontknowthestruggleif,o
reasonswhywestoppedtalking,o
boyinluv,o
pricelesssurprise,o
thingswhitepeopleinvented,f
allthatmatersmusicvideo,f
tellmewhywouldyou,o
worsecollegeclasses,o
weasagenerationneedtoletgoof,
wheniwasbatapa,o
iaintworriedboutnothin,o
defundobamacarebecause,o
storybehindmyscar,o
mycrazybeautifullife,o
elementaryschoolconfessions,
rulesinablackhouse,o
whatreallyturnsmeon,o
parentsfavoriteline,o
imweakfor,o
thosemomentsinlifewhen,o
unansweredcartoonquestions,f
tweetlikeaswagfag,o
90sbabyfollowtrain,f
90sbabyfollowtrain,f
somefactsyoushouldknow,f
90sbabyfollowtrain,f
unattractivethingsaboutme,o
igotoaschoolwhere,o
liberalsgetupsetwhen,o
yougainpoints,
mentionsomeoneyourthankfulfor,o
whenwomangetmad,o
deploymentproblems,o
youneedtounderstandthat,o
namethatwasalmostyours,o
girlswhodontwearpanties,
20factsaboutmybrother,o
spainneedsprismaticworldtour,f
psychicreaders,o
everyguyshould,o
whenijoinedmyfandom,o
bootyinmylap,o
obamain3words,o
replacemovietitlewithvagina,f
wealmostdatedbut,o
besttextmessage,o
andinthatorder,
inkedgirls, o
dreamfund,
songsfromthecouch,o
mentionyourfavoritefollower,o
boyfriend10days,o
withasideoffrenchfries,
pornhubtaughtme,f
hiphopwentwrongwhen,o
momsgifts,o
giveittothedjsfirst,o
youknowyoureasidechickwhen,o
inaghettohousehold,
topretweetgaintrain,
advicefromhitler,o
tinytonight,o
seeyouinthefields,o
thingsyouneverwanttohearyourmothersaying,o
whyimin,
jamesstickaneedleupyourdickhole,o
balloutfromthestreets,
iamnotaliberalbecause,o
fourwordsyoudontwanttohear,o
footballconfessions,
icantcontrolmythoughtswhen,o
in3rdgrade,
urnotcuteenough,o
topretweet,
getalljobs,o
takethatsh*tc,
messagetomyhaters,o
youaintevenknowit,o
mentionanattractivefemalefollower,o
dumbfanficmoments,o
thingsyoudontsaybeforesex,f
myfavoritemoviequote,o
mention20peopleyouloveontwitter,o
replacesonglyricswithsloth,
uknowthesexisgoodwhen,o
growlforthewin,
1dwerenotlikethesegirlsonthedocumentary,
mentionsomeoneyoucanbestupidwith,o
annoyingstuffontwitter,o
thingsafricanmumssay,f
thingsbetterthanreplacementrefs,
myfavorite90ssong,o
thatswhyyouhavenofriends,o
donatedtweets,
30goodmovies,o
10worstfeelings,o
wehavethatonefriendwho,o
collegecraze,o
lookinforyou,o
britishboybandfollowingspree,
bollywoodsips,
weareneverevergettingbacktogether,o
skipto700k,0
dearfuturebabe,
thingsimguiltyof,o
mastersofsex,o
ifweweretogetherrightnow,o
nothingbutskin,o
wefromatlanta,
reasonswedontknowwhatloveis,f
igethatalot,o
worstfeeling101,o
topsongsidhavesexto,
lyrcisweallknow,
thingigetalot,o
mentionsomeoneiwantmeet,o
besttextmessage,f
ibetsomebodyonmytl,o
ifwenotinarelationship,o
22louispicsfrommycameraroll,f
unansweredhiphipquestions,f
bestwaytoaskforhead,f
2013hastaughtme,o
christmasathomewithbamboo,o
replace5soslyricswithboobs,
childhoodtvprogrammes,o
tweetitlikeyomamawatching,
findgreatness,f
finally,o
youdumbafif,o
funnyvine,
tweelyricsyouliketoscream,
100mostbeautifulpinays2013,o
weallhavethatonefollowerwho,
collegejock,
tweetyournamewithnovowels,o
tweetapicthatdescribesyourfriendship,o
picturemadnessmonday,
a90sbabyknows,f
youawhorebecause,o
thiscouldbemebutitssunday,o
amillionways,f
20reasonswhyweloveashton,o
grownupprobz,
makeasplash,
thehottestone,o
marrythemanwho,o
replacebandnameswithnapkin,o
sometimesigetsickof,o
tweetacutecouple,o
howtogetoffthephone,o
thinnestsportsbooks,o
ifnotformusic,o
breakfastwit,o
godhasblessedmewith,o
thoughtswhilerunning,o
ihavealoveandhaterelationshipwith,o
ifyoureallylikedme,o
sorrynotfuckingsorry,o
rappersweforgotabout,
thingsmorefamousthanusonedirection,o
somethingnewsunday,o
2yearswithsehun,o
flexfriday,o
replaceawordinamoviewithtampon,o
90sfollowtrain,f
mentionyourcrush,o
-------------------------------
replacefilmtitlewiththewordminge,o,2,g
7thgradeconfession,f
827dayswithexo,o
knowthetruth,f
30questionsforariana,o
endofthewordconfessions,o
somethingisayalot,f
worstrappersalive,o
aftersexconversations,f
itsalwaysagoodtime,f
shelooksoperfect,o
storyofmylifeouttomorrow,o
myfavoritesongsof2012,o
4famouswords,f
whatobamataughtme,o
thisiswhywechop,o
pressuringquestions,o
onethingaboutoomf,
whenitshotoutside,o
deepnurthoughts,o
replacemovietitleswithpope,o
byefreakinbrothers,o
youknowyoureindianwhen,f
somethingcute,o
thingsbetterthannickiminaj,o
relationshipsare,o
whenithinkaboutoomf,f
everyonehasthat1familymemberwho,f
somepeopledont,f
7factsaboutmybestfriend,f
wordsisaywhenimmad,f
happy6002day,o
iftheydontgivehead,o
wheniwasyourman,o
waystogetablackpersonmad,f
donstopmusicvideo,o
mynamewassupposedtobe,o
thatstheshitilove,o
womenlieabout,o
20peoplethatilove,o
dontsignwithmodest,
dontcutaid,
3wordstodescribeme,f
allrelationshipsneed,o
cleanyourslate,f
its2013youcanstop,f
replacesongswithjomblo,o
styledtorock,o
listofturnons,
thoughtswhilebubbling,o
mentionpeoplewhoneverforget,o
1000ghettowaystodie,f
shitnoonefrommasays,
laughurassoff,o
iwenttoaschoolwhere,f
whoremembersthatshow,
replacemoviewithdurian,o
addwankingtoafilmtitle,
mentionsomeoneyourgladyoumet,o
whitegirlsfamouslines,
allaboutsoccer,f
transformationtuesday,
setgoodtuesdays,f
butugotthatiphone5tho,o
thingsisayinschoolthemost,o
mentionyourcutestfollowers,o
replacerihannasongswithvagina,f
replacemovietitleswithnigguh,o
stupidstereotypes,o
thisisthem,
weallhavethatoneperson,o
thatstheshitidontlike,o
90sbabyfollowtrain,f
rappersthathavegonemissing,o
replacemovietitlewithminion,o
jamaicanlyricsyouliketoscream,o
replacebandnameswithass,o
doesthatme,o
ownthecampus,o
makeascene,
howtomakemesmile,o
mentionanaddiction,f
peoplethatdonttextback,o
10reasonswhyyoucantsleep,o
itsmorefuninthephilippines,o
2yearssincesosick,o
10artistsiwanttomeet,o
3videos,f
youmightbestupidif,o
10peopleyoutrulylove,f
popularfemalelines,f
jetlaggedface,o
gamesfemalesplay,f
quickestwaytoendupsingle,o
allaroundtheworldpeoplelovethewanted,f
theworstmyth,o
tagyourcutestfollower,o
ifiwonthelottoiwould,o
awkwardfacebookstatuses,o
whitegirlsbelike,o
youcantbeinarelationshipwithme,o
waystopissoffyourvalentine,f
biggestliesgirlssay,f
replacemovietitlewithratchet,o
thingsmorepopularthanabbott,f
ieasilygetmadat,f
tmzaretheworstcelebritynewssiteever,o
thatstheshitilike,o
tipsforyear7s,f
imthepersonwho,o
dirtyfanfiction,f
20songsilike,o
poorbracketchoices,o
votewhatmakes,o
whenimsadiliketo,o
travelboldly,f
1yearoflittlethings,o
judginyou,o
giveyutheshenmuelicense,
popularinthe90s,o
youknowyouarefromtheonedirectionfandomwhen,o
thingsinmylifethatarepriceless,f
geminisweare,f
rememberwhenweusedto,o
watchingresults,o
bandsaccordingtofangirls,o
sometimesallagirlwants,o
mentionsomeoneveryspecial,o
thingsmoreharmfulthanmarijuana,f
mentionwhotwitconawesome,o
getusedtogreat,o
somethingigetalot,o
cantafford4more,o
thingsboysdowelove,f
musicthatdontmatch,f
nationaltextyourexday,f
mypornmovietitle,o
15thingsaboutmycrush,f
dontendmeribhabhi,o
bestmagicever,f
promposal,o
takeapicturelikeatwitterbitch,o
